Huffman Codes are:

0/4 : 00
2/1 : 0100
0/5 : 0101
0/1 : 01100
4/1 : 01101000
6/1 : 0110100100
5/1 : 0110100101
1/4 : 0110100110
3/2 : 01101001110
7/1 : 0110100111100
3/3 : 01101001111010
5/6 : 011010011110110000
5/10 : 0110100111101100010
5/2 : 01101001111011000110
2/7 : 01101001111011000111
2/9 : 01101001111011001
5/8 : 0110100111101101000
6/2 : 01101001111011010010
2/6 : 011010011110110100110
4/10 : 0110100111101101001110
4/8 : 01101001111011010011110
2/5 : 011010011110110100111110
2/4 : 0110100111101101001111110
0/7 : 01101001111011010011111110
4/5 : 0110100111101101001111111100
7/6 : 01101001111011010011111111010000000000000
7/9 : 011010011110110100111111110100000000000010
8/7 : 01101001111011010011111111010000000000001100
9/1 : 011010011110110100111111110100000000000011010
9/5 : 0110100111101101001111111101000000000000110110
10/1 : 011010011110110100111111110100000000000011011100
10/5 : 0110100111101101001111111101000000000000110111010
10/9 : 01101001111011010011111111010000000000001101110110
11/3 : 011010011110110100111111110100000000000011011101110
12/1 : 01101001111011010011111111010000000000001101110111100
1/7 : 011010011110110100111111110100000000000011011101111010
3/4 : 011010011110110100111111110100000000000011011101111011
3/5 : 0110100111101101001111111101000000000000110111011111
9/7 : 01101001111011010011111111010000000000001101111
7/5 : 01101001111011010011111111010000000000001110
9/4 : 0110100111101101001111111101000000000000111100
10/8 : 01101001111011010011111111010000000000001111010000
14/2 : 011010011110110100111111110100000000000011110100010
6/10 : 0110100111101101001111111101000000000000111101000110
6/8 : 011010011110110100111111110100000000000011110100011100
12/7 : 0110100111101101001111111101000000000000111101000111010
6/6 : 01101001111011010011111111010000000000001111010001110110
13/4 : 011010011110110100111111110100000000000011110100011101110
13/8 : 0110100111101101001111111101000000000000111101000111011110
14/7 : 011010011110110100111111110100000000000011110100011101111100
15/1 : 0110100111101101001111111101000000000000111101000111011111010
15/5 : 01101001111011010011111111010000000000001111010001110111110110
15/9 : 011010011110110100111111110100000000000011110100011101111101110
0/6 : 0110100111101101001111111101000000000000111101000111011111011110
0/8 : 0110100111101101001111111101000000000000111101000111011111011111
14/6 : 011010011110110100111111110100000000000011110100011101111110
14/10 : 0110100111101101001111111101000000000000111101000111011111110
15/4 : 01101001111011010011111111010000000000001111010001110111111110
15/8 : 011010011110110100111111110100000000000011110100011101111111110
0/9 : 0110100111101101001111111101000000000000111101000111011111111110
1/6 : 0110100111101101001111111101000000000000111101000111011111111111
11/9 : 01101001111011010011111111010000000000001111010001111
10/3 : 0110100111101101001111111101000000000000111101001
9/9 : 011010011110110100111111110100000000000011110101
1/8 : 01101001111011010011111111010000000000001111011
8/9 : 011010011110110100111111110100000000000011111
3/9 : 0110100111101101001111111101000000000001
0/10 : 011010011110110100111111110100000000001
3/10 : 01101001111011010011111111010000000001
8/2 : 0110100111101101001111111101000000001
8/4 : 011010011110110100111111110100000001
12/2 : 01101001111011010011111111010000001
11/6 : 0110100111101101001111111101000001
5/5 : 011010011110110100111111110100001
10/4 : 01101001111011010011111111010001
4/9 : 0110100111101101001111111101001
9/2 : 011010011110110100111111110101
8/6 : 011010011110110100111111110110000000
6/3 : 011010011110110100111111110110000001
11/10 : 01101001111011010011111111011000001
5/7 : 0110100111101101001111111101100001
5/4 : 011010011110110100111111110110001
10/2 : 01101001111011010011111111011001
9/6 : 0110100111101101001111111101101
8/10 : 011010011110110100111111110111
4/6 : 0110100111101101001111111110
4/4 : 01101001111011010011111111110
7/8 : 011010011110110100111111111110000000000000
8/1 : 0110100111101101001111111111100000000000010
8/5 : 01101001111011010011111111111000000000000110
9/3 : 0110100111101101001111111111100000000000011100
3/6 : 01101001111011010011111111111000000000000111010
